Column,Year,FLOW,SITC_1,DESCR_SITC_GR,Type,Exports
110,2018,EXPORTS,0.0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,1892570829
111,2018,EXPORTS,1.0,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,277768731
112,2018,EXPORTS,2.0,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels",542277015
113,2018,EXPORTS,3.0,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ",4454279045
114,2018,EXPORTS,4.0,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes",365784493
115,2018,EXPORTS,5.0,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ",1404738935
116,2018,EXPORTS,6.0,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,2144527399
117,2018,EXPORTS,7.0,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,1208359600
118,2018,EXPORTS,8.0,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,888160403
119,2018,EXPORTS,9.0,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,235960464
130,2010,EXPORTS,0.0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,1257908009
131,2010,EXPORTS,1.0,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,214332539
132,2010,EXPORTS,2.0,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels",400740766
133,2010,EXPORTS,3.0,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ",1890569425
134,2010,EXPORTS,4.0,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes",131733990
135,2010,EXPORTS,5.0,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ",1045006883
136,2010,EXPORTS,6.0,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,1377933910
137,2010,EXPORTS,7.0,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,820569903
138,2010,EXPORTS,8.0,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,671868073
139,2010,EXPORTS,9.0,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,195709768
