YEAR,FLOW,SITC_1,DESCR_SITC_GR,DESCR_SITC_EN,VALUE IN EURO
2013,IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"2,057,335,528"
2013,IMPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"200,576,865"
2013,IMPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","543,392,060"
2013,IMPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","7,452,130,530"
2013,IMPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","110,961,293"
2013,IMPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","2,765,441,102"
2013,IMPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"1,933,209,356"
2013,IMPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"2,886,966,490"
2013,IMPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"1,688,817,886"
2013,IMPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"20,790,400"
,,,,,
,,,,,
,,,,,
2013,EXPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"1,460,095,811"
2013,EXPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"237,961,164"
2013,EXPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","417,527,830"
2013,EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","4,445,468,462"
2013,EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","378,680,597"
2013,EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","1,035,966,350"
2013,EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"1,604,083,416"
2013,EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"843,958,526"
2013,EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"669,349,694"
2013,EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"250,147,328"
,,,,,
,,,,,
,,,,,
2014,IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"2,020,911,257"
2014,IMPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"188,491,468"
2014,IMPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","512,520,890"
2014,IMPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","6,561,010,882"
2014,IMPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","112,159,065"
2014,IMPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","2,854,578,967"
2014,IMPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"1,954,017,798"
2014,IMPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"3,684,593,117"
2014,IMPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"1,839,934,552"
2014,IMPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"7,428,020"
,,,,,
,,,,,
,,,,,
2014,EXPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"1,463,604,812"
2014,EXPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"205,972,120"
2014,EXPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","409,421,654"
2014,EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","4,023,354,723"
2014,EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","112,771,130"
2014,EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","1,117,793,582"
2014,EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"1,552,677,082"
2014,EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ, Machinery and transport equipment         ,"859,005,757"
2014,EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ, Miscellaneous manufactured articles    ,"702,095,972"
2014,EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ, Commodities and transactions not classified elsewhere in the SITC   ,"242,363,812"
,,,,,
,,,,,
,,,,,
2015,IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ, Food and live animals ,"2,092,118,324"
2015,IMPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ, Beverages and tobacco ,"217,127,356"
2015,IMPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ"," Crude materials, inedible, except fuels","514,195,083"
2015,IMPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ."," Mineral fuels, lubricants and related materials ","5,033,155,885"
2015,IMPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ," Animal and vegetable oils, fats and waxes","98,776,827"
2015,IMPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)"," Chemicals and related products, n.e.s. ","2,929,343,298"
2015,IMPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ, Manufactured goods classified chiefly by material  ,"2,111,197,636"
