YEAR,FLOW,SITC_1,DESCR_SITC_GR,DESCR_SITC_EN,VALUE IN EURO
2010,IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ,Food and live animals,"2,020,959,134"
2010,IMPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ,Beverages and tobacco,"289,089,634"
2010,IMPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ","Crude materials, inedible, except fuels","509,022,041"
2010,IMPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ.","Mineral fuels, lubricants and related materials","4,786,929,028"
2010,IMPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ,"Animal and vegetable oils, fats and waxes","84,846,866"
2010,IMPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)","Chemicals and related products, n.e.s.","3,212,167,844"
2010,IMPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ,Manufactured goods classified chiefly by material,"2,375,500,442"
2010,IMPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ,Machinery and transport equipment,"6,092,666,195"
2010,IMPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ,Miscellaneous manufactured articles,"2,810,911,709"
2010,IMPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ,Commodities and transactions not classified elsewhere in the SITC,"74,095,074"
,,,,,"22,256,187,967"
,,,,,
,,,,,
2010,EXPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ,Food and live animals,"1,257,908,009"
2010,EXPORTS,1,ΠΟΤΑ ΚΑΙ ΚΑΠΝΟΣ,Beverages and tobacco,"214,332,539"
2010,EXPORTS,2,"ΠΡΩΤΕΣ ΥΛΕΣ ΜΗ ΕΔΩΔΙΜΕΣ, ΕΚΤΟΣ ΑΠΟ ΚΑΥΣΙΜΑ","Crude materials, inedible, except fuels","400,740,766"
2010,EXPORTS,3,"ΟΡΥΚΤΑ, ΚΑΥΣΙΜΑ, ΛΙΠΑΝΤΙΚΑ, ΚΛΠ.","Mineral fuels, lubricants and related materials","1,890,569,425"
2010,EXPORTS,4,ΛΑΔΙΑ ΚΑΙ ΛΙΠΗ ΖΩΙΚΗΣ Η' ΦΥΤΙΚΗΣ ΠΡΟΕΛΕΥΣΗΣ,"Animal and vegetable oils, fats and waxes","131,733,990"
2010,EXPORTS,5,"ΧΗΜΙΚΑ ΠΡΟΙΟΝΤΑ ΚΑΙ ΣΥΝΑΦΗ, (Μ.Α.Κ.)","Chemicals and related products, n.e.s.","1,045,006,883"
2010,EXPORTS,6,ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΥΡΙΩΣ ΚΑΤΑ ΠΡΩΤΗ ΥΛΗ,Manufactured goods classified chiefly by material,"1,377,933,910"
2010,EXPORTS,7,ΜΗΧΑΝΗΜΑΤΑ ΚΑΙ ΥΛΙΚΟ ΜΕΤΑΦΟΡΩΝ,Machinery and transport equipment,"820,569,903"
2010,EXPORTS,8,ΔΙΑΦΟΡΑ ΒΙΟΜΗΧΑΝΙΚΑ ΕΙΔΗ,Miscellaneous manufactured articles,"671,868,073"
2010,EXPORTS,9,ΕΙΔΗ ΚΑΙ ΣΥΝΑΛΛΑΓΕΣ ΜΗ ΤΑΞΙΝΟΜΗΜΕΝΑ ΚΑΤΑ ΚΑΤΗΓΟΡΙΕΣ,Commodities and transactions not classified elsewhere in the SITC,"195,709,768"
,,,,,"8,006,373,266"
,,,,,
,,,,,
2011,IMPORTS,0,ΤΡΟΦΙΜΑ ΚΑΙ ΖΩΑ ΖΩΝΤΑΝΑ,Food and live animals,"2,222,823,542"
