FREQ,REF_AREA,SEASONAL_ADJUST,INDICATOR,ACTIVITY,TIME_PERIOD,OBS_VALUE,BASE_PER
Q,GR,N,LCI_T,B,2000-Q1,64.5,2012
Q,GR,N,LCI_T,C,2000-Q1,74.9,2012
Q,GR,N,LCI_T,D,2000-Q1,46.3,2012
Q,GR,N,LCI_T,E,2000-Q1,54.9,2012
Q,GR,N,LCI_T,F,2000-Q1,75.6,2012
Q,GR,N,LCI_T,G,2000-Q1,61.3,2012
Q,GR,N,LCI_T,H,2000-Q1,68.5,2012
Q,GR,N,LCI_T,I,2000-Q1,83.9,2012
Q,GR,N,LCI_T,J,2000-Q1,70.1,2012
Q,GR,N,LCI_T,K,2000-Q1,77.1,2012
Q,GR,N,LCI_T,L,2000-Q1,89.1,2012
Q,GR,N,LCI_T,M,2000-Q1,51.7,2012
Q,GR,N,LCI_T,N,2000-Q1,58.8,2012
Q,GR,N,LCI_T,O,2000-Q1,75.7,2012
Q,GR,N,LCI_T,P,2000-Q1,69.3,2012
Q,GR,N,LCI_T,Q,2000-Q1,80.3,2012
Q,GR,N,LCI_T,R,2000-Q1,75.4,2012
Q,GR,N,LCI_T,S,2000-Q1,68.1,2012
Q,GR,N,LCI_T,BTE,2000-Q1,67.4,2012
Q,GR,N,LCI_T,BTF,2000-Q1,69.3,2012
Q,GR,N,LCI_T,BTN,2000-Q1,67.1,2012
Q,GR,N,LCI_T,BTS,2000-Q1,69.3,2012
Q,GR,N,LCI_T,GTJ,2000-Q1,65.8,2012
Q,GR,N,LCI_T,GTN,2000-Q1,66.4,2012
Q,GR,N,LCI_T,KTN,2000-Q1,67.6,2012
Q,GR,N,LCI_T,OTS,2000-Q1,74.1,2012
Q,GR,N,LCI_T,PTS,2000-Q1,71.5,2012
Q,GR,N,LCI_WAG,B,2000-Q1,57.4,2012
Q,GR,N,LCI_WAG,C,2000-Q1,77.3,2012
Q,GR,N,LCI_WAG,D,2000-Q1,44.7,2012
Q,GR,N,LCI_WAG,E,2000-Q1,55.7,2012
Q,GR,N,LCI_WAG,F,2000-Q1,78.5,2012
Q,GR,N,LCI_WAG,G,2000-Q1,53.5,2012
Q,GR,N,LCI_WAG,H,2000-Q1,72.2,2012
Q,GR,N,LCI_WAG,I,2000-Q1,86.2,2012
Q,GR,N,LCI_WAG,J,2000-Q1,71.7,2012
Q,GR,N,LCI_WAG,K,2000-Q1,81.3,2012
Q,GR,N,LCI_WAG,L,2000-Q1,97.6,2012
Q,GR,N,LCI_WAG,M,2000-Q1,56.3,2012
Q,GR,N,LCI_WAG,N,2000-Q1,61.4,2012
Q,GR,N,LCI_WAG,O,2000-Q1,79,2012
Q,GR,N,LCI_WAG,P,2000-Q1,70.8,2012
Q,GR,N,LCI_WAG,Q,2000-Q1,77.6,2012
Q,GR,N,LCI_WAG,R,2000-Q1,67.6,2012
Q,GR,N,LCI_WAG,S,2000-Q1,65.4,2012
Q,GR,N,LCI_WAG,BTE,2000-Q1,68.2,2012
Q,GR,N,LCI_WAG,BTF,2000-Q1,70.4,2012
Q,GR,N,LCI_WAG,BTN,2000-Q1,66.7,2012
Q,GR,N,LCI_WAG,BTS,2000-Q1,69.6,2012
Q,GR,N,LCI_WAG,GTJ,2000-Q1,62.8,2012
Q,GR,N,LCI_WAG,GTN,2000-Q1,65.2,2012
Q,GR,N,LCI_WAG,KTN,2000-Q1,71.3,2012
Q,GR,N,LCI_WAG,OTS,2000-Q1,75.2,2012
Q,GR,N,LCI_WAG,PTS,2000-Q1,71.1,2012
Q,GR,N,LCI_O,B,2000-Q1,115,2012
Q,GR,N,LCI_O,C,2000-Q1,65.7,2012
Q,GR,N,LCI_O,D,2000-Q1,51.1,2012
Q,GR,N,LCI_O,E,2000-Q1,54,2012
Q,GR,N,LCI_O,F,2000-Q1,66.8,2012
Q,GR,N,LCI_O,G,2000-Q1,92,2012
Q,GR,N,LCI_O,H,2000-Q1,55.9,2012
Q,GR,N,LCI_O,I,2000-Q1,72.1,2012
Q,GR,N,LCI_O,J,2000-Q1,60.3,2012
Q,GR,N,LCI_O,K,2000-Q1,66.5,2012
Q,GR,N,LCI_O,L,2000-Q1,62.4,2012
Q,GR,N,LCI_O,M,2000-Q1,36.1,2012
Q,GR,N,LCI_O,N,2000-Q1,48.1,2012
Q,GR,N,LCI_O,O,2000-Q1,65.4,2012
Q,GR,N,LCI_O,P,2000-Q1,65.5,2012
Q,GR,N,LCI_O,Q,2000-Q1,106.2,2012
Q,GR,N,LCI_O,R,2000-Q1,202.8,2012
Q,GR,N,LCI_O,S,2000-Q1,92.1,2012
Q,GR,N,LCI_O,BTE,2000-Q1,63.9,2012
Q,GR,N,LCI_O,BTF,2000-Q1,64.8,2012
Q,GR,N,LCI_O,BTN,2000-Q1,68.8,2012
Q,GR,N,LCI_O,BTS,2000-Q1,68.2,2012
Q,GR,N,LCI_O,GTJ,2000-Q1,78.2,2012
Q,GR,N,LCI_O,GTN,2000-Q1,71,2012
Q,GR,N,LCI_O,KTN,2000-Q1,57,2012
Q,GR,N,LCI_O,OTS,2000-Q1,69.2,2012
Q,GR,N,LCI_O,PTS,2000-Q1,73.4,2012
Q,GR,Y,LCI_T,B,2000-Q1,77.4,2012
Q,GR,Y,LCI_T,C,2000-Q1,86.9,2012
Q,GR,Y,LCI_T,D,2000-Q1,52.7,2012
Q,GR,Y,LCI_T,E,2000-Q1,72.9,2012
Q,GR,Y,LCI_T,F,2000-Q1,85.2,2012
Q,GR,Y,LCI_T,G,2000-Q1,72,2012
Q,GR,Y,LCI_T,H,2000-Q1,80.3,2012
Q,GR,Y,LCI_T,I,2000-Q1,96.3,2012
Q,GR,Y,LCI_T,J,2000-Q1,81.9,2012
Q,GR,Y,LCI_T,L,2000-Q1,85.4,2012
Q,GR,Y,LCI_T,K,2000-Q1,86.4,2012
Q,GR,Y,LCI_T,M,2000-Q1,57.6,2012
Q,GR,Y,LCI_T,N,2000-Q1,63.1,2012
Q,GR,Y,LCI_T,O,2000-Q1,76.8,2012
Q,GR,Y,LCI_T,P,2000-Q1,85.6,2012
Q,GR,Y,LCI_T,Q,2000-Q1,91.9,2012
Q,GR,Y,LCI_T,R,2000-Q1,88.4,2012
Q,GR,Y,LCI_T,S,2000-Q1,75.6,2012
Q,GR,Y,LCI_T,BTE,2000-Q1,79,2012
Q,GR,Y,LCI_T,BTF,2000-Q1,80.6,2012
Q,GR,Y,LCI_T,BTN,2000-Q1,77.7,2012
Q,GR,Y,LCI_T,BTS,2000-Q1,78.8,2012
Q,GR,Y,LCI_T,GTJ,2000-Q1,77.1,2012
Q,GR,Y,LCI_T,GTN,2000-Q1,76.7,2012
Q,GR,Y,LCI_T,KTN,2000-Q1,75.1,2012
Q,GR,Y,LCI_T,OTS,2000-Q1,81.2,2012
Q,GR,Y,LCI_T,PTS,2000-Q1,85,2012
Q,GR,Y,LCI_WAG,B,2000-Q1,68.1,2012
Q,GR,Y,LCI_WAG,C,2000-Q1,89.6,2012
Q,GR,Y,LCI_WAG,D,2000-Q1,50.8,2012
Q,GR,Y,LCI_WAG,E,2000-Q1,74.3,2012
Q,GR,Y,LCI_WAG,F,2000-Q1,91,2012
Q,GR,Y,LCI_WAG,G,2000-Q1,63.7,2012
Q,GR,Y,LCI_WAG,H,2000-Q1,86.5,2012
Q,GR,Y,LCI_WAG,I,2000-Q1,99.8,2012
Q,GR,Y,LCI_WAG,J,2000-Q1,83.9,2012
Q,GR,Y,LCI_WAG,L,2000-Q1,99.7,2012
Q,GR,Y,LCI_WAG,K,2000-Q1,90.3,2012
Q,GR,Y,LCI_WAG,M,2000-Q1,62.6,2012
Q,GR,Y,LCI_WAG,N,2000-Q1,66.7,2012
Q,GR,Y,LCI_WAG,O,2000-Q1,76.9,2012
Q,GR,Y,LCI_WAG,P,2000-Q1,88.3,2012
Q,GR,Y,LCI_WAG,Q,2000-Q1,89.6,2012
Q,GR,Y,LCI_WAG,R,2000-Q1,78.6,2012
Q,GR,Y,LCI_WAG,S,2000-Q1,72.5,2012
Q,GR,Y,LCI_WAG,BTE,2000-Q1,80.1,2012
Q,GR,Y,LCI_WAG,BTF,2000-Q1,82.5,2012
Q,GR,Y,LCI_WAG,BTN,2000-Q1,77.7,2012
Q,GR,Y,LCI_WAG,BTS,2000-Q1,78.8,2012
Q,GR,Y,LCI_WAG,GTJ,2000-Q1,74.3,2012
Q,GR,Y,LCI_WAG,GTN,2000-Q1,75.7,2012
Q,GR,Y,LCI_WAG,KTN,2000-Q1,78.8,2012
Q,GR,Y,LCI_WAG,OTS,2000-Q1,81.1,2012
Q,GR,Y,LCI_WAG,PTS,2000-Q1,84.7,2012
Q,GR,Y,LCI_O,B,2000-Q1,141.8,2012
Q,GR,Y,LCI_O,C,2000-Q1,76.5,2012
Q,GR,Y,LCI_O,D,2000-Q1,57.9,2012
Q,GR,Y,LCI_O,E,2000-Q1,54,2012
Q,GR,Y,LCI_O,F,2000-Q1,66.9,2012
Q,GR,Y,LCI_O,G,2000-Q1,104.8,2012
Q,GR,Y,LCI_O,H,2000-Q1,61.3,2012
Q,GR,Y,LCI_O,I,2000-Q1,78.6,2012
Q,GR,Y,LCI_O,J,2000-Q1,71,2012
Q,GR,Y,LCI_O,L,2000-Q1,42.7,2012
Q,GR,Y,LCI_O,K,2000-Q1,76.4,2012
Q,GR,Y,LCI_O,M,2000-Q1,40.4,2012
Q,GR,Y,LCI_O,N,2000-Q1,48.1,2012
Q,GR,Y,LCI_O,O,2000-Q1,75.9,2012
Q,GR,Y,LCI_O,P,2000-Q1,78.8,2012
Q,GR,Y,LCI_O,Q,2000-Q1,109.6,2012
Q,GR,Y,LCI_O,R,2000-Q1,253.1,2012
Q,GR,Y,LCI_O,S,2000-Q1,102.8,2012
Q,GR,Y,LCI_O,BTE,2000-Q1,74.5,2012
Q,GR,Y,LCI_O,BTF,2000-Q1,72.8,2012
Q,GR,Y,LCI_O,BTN,2000-Q1,77.9,2012
Q,GR,Y,LCI_O,BTS,2000-Q1,78.6,2012
Q,GR,Y,LCI_O,GTJ,2000-Q1,88.4,2012
Q,GR,Y,LCI_O,GTN,2000-Q1,80.5,2012
Q,GR,Y,LCI_O,KTN,2000-Q1,64.1,2012
Q,GR,Y,LCI_O,OTS,2000-Q1,80.7,2012
Q,GR,Y,LCI_O,PTS,2000-Q1,86.5,2012
Q,GR,W,LCI_T,B,2000-Q1,64.7,2012
Q,GR,W,LCI_T,C,2000-Q1,75.6,2012
Q,GR,W,LCI_T,D,2000-Q1,45.3,2012
Q,GR,W,LCI_T,E,2000-Q1,42.3,2012
Q,GR,W,LCI_T,F,2000-Q1,75.6,2012
Q,GR,W,LCI_T,G,2000-Q1,59.7,2012
Q,GR,W,LCI_T,H,2000-Q1,68.7,2012
Q,GR,W,LCI_T,I,2000-Q1,83.4,2012
Q,GR,W,LCI_T,J,2000-Q1,68.8,2012
Q,GR,W,LCI_T,K,2000-Q1,77.6,2012
Q,GR,W,LCI_T,L,2000-Q1,93.5,2012
Q,GR,W,LCI_T,M,2000-Q1,51.6,2012
Q,GR,W,LCI_T,N,2000-Q1,58.7,2012
Q,GR,W,LCI_T,O,2000-Q1,81.9,2012
Q,GR,W,LCI_T,P,2000-Q1,70.1,2012
Q,GR,W,LCI_T,Q,2000-Q1,82.3,2012
Q,GR,W,LCI_T,R,2000-Q1,75.4,2012
Q,GR,W,LCI_T,S,2000-Q1,68.8,2012
Q,GR,W,LCI_T,BTE,2000-Q1,66.4,2012
Q,GR,W,LCI_T,BTF,2000-Q1,68.5,2012
Q,GR,W,LCI_T,BTN,2000-Q1,66.3,2012
Q,GR,W,LCI_T,BTS,2000-Q1,70,2012
Q,GR,W,LCI_T,GTJ,2000-Q1,64.7,2012
Q,GR,W,LCI_T,GTN,2000-Q1,65.6,2012
Q,GR,W,LCI_T,KTN,2000-Q1,67.9,2012
Q,GR,W,LCI_T,OTS,2000-Q1,77.4,2012
Q,GR,W,LCI_T,PTS,2000-Q1,72.5,2012
Q,GR,W,LCI_WAG,B,2000-Q1,57.3,2012
Q,GR,W,LCI_WAG,C,2000-Q1,78.3,2012
Q,GR,W,LCI_WAG,D,2000-Q1,43.6,2012
Q,GR,W,LCI_WAG,E,2000-Q1,42.6,2012
Q,GR,W,LCI_WAG,F,2000-Q1,78.4,2012
Q,GR,W,LCI_WAG,G,2000-Q1,51.8,2012
Q,GR,W,LCI_WAG,H,2000-Q1,72.1,2012
Q,GR,W,LCI_WAG,I,2000-Q1,85.6,2012
Q,GR,W,LCI_WAG,J,2000-Q1,70.8,2012
Q,GR,W,LCI_WAG,L,2000-Q1,97.3,2012
Q,GR,W,LCI_WAG,K,2000-Q1,82,2012
Q,GR,W,LCI_WAG,M,2000-Q1,56.1,2012
Q,GR,W,LCI_WAG,N,2000-Q1,61.2,2012
Q,GR,W,LCI_WAG,O,2000-Q1,78,2012
Q,GR,W,LCI_WAG,P,2000-Q1,72,2012
Q,GR,W,LCI_WAG,Q,2000-Q1,79.3,2012
Q,GR,W,LCI_WAG,R,2000-Q1,67.3,2012
Q,GR,W,LCI_WAG,S,2000-Q1,66.7,2012
Q,GR,W,LCI_WAG,BTE,2000-Q1,67.1,2012
Q,GR,W,LCI_WAG,BTF,2000-Q1,69.5,2012
Q,GR,W,LCI_WAG,BTN,2000-Q1,65.8,2012
Q,GR,W,LCI_WAG,BTS,2000-Q1,69.1,2012
Q,GR,W,LCI_WAG,GTJ,2000-Q1,61.6,2012
Q,GR,W,LCI_WAG,GTN,2000-Q1,64.3,2012
Q,GR,W,LCI_WAG,KTN,2000-Q1,71.5,2012
Q,GR,W,LCI_WAG,OTS,2000-Q1,75.6,2012
Q,GR,W,LCI_WAG,PTS,2000-Q1,72.3,2012
Q,GR,W,LCI_O,B,2000-Q1,117.9,2012
Q,GR,W,LCI_O,C,2000-Q1,65.4,2012
Q,GR,W,LCI_O,D,2000-Q1,51.6,2012
Q,GR,W,LCI_O,E,2000-Q1,54.1,2012
Q,GR,W,LCI_O,F,2000-Q1,67,2012
Q,GR,W,LCI_O,G,2000-Q1,91.2,2012
Q,GR,W,LCI_O,H,2000-Q1,56.7,2012
Q,GR,W,LCI_O,I,2000-Q1,72.5,2012
Q,GR,W,LCI_O,J,2000-Q1,56.9,2012
Q,GR,W,LCI_O,K,2000-Q1,66.7,2012
Q,GR,W,LCI_O,L,2000-Q1,80.9,2012
Q,GR,W,LCI_O,M,2000-Q1,36.5,2012
Q,GR,W,LCI_O,N,2000-Q1,48.4,2012
Q,GR,W,LCI_O,O,2000-Q1,93.4,2012
Q,GR,W,LCI_O,P,2000-Q1,65.4,2012
Q,GR,W,LCI_O,Q,2000-Q1,109.9,2012
Q,GR,W,LCI_O,R,2000-Q1,200.9,2012
Q,GR,W,LCI_O,S,2000-Q1,88.7,2012
Q,GR,W,LCI_O,BTE,2000-Q1,63.6,2012
Q,GR,W,LCI_O,BTF,2000-Q1,64.6,2012
Q,GR,W,LCI_O,BTN,2000-Q1,68.4,2012
Q,GR,W,LCI_O,BTS,2000-Q1,73.4,2012
Q,GR,W,LCI_O,GTJ,2000-Q1,77.5,2012
Q,GR,W,LCI_O,GTN,2000-Q1,70.5,2012
Q,GR,W,LCI_O,KTN,2000-Q1,57.3,2012
Q,GR,W,LCI_O,OTS,2000-Q1,83.7,2012
Q,GR,W,LCI_O,PTS,2000-Q1,73.4,2012
Q,GR,N,LCI_T,B,2000-Q2,77.8,2012
Q,GR,N,LCI_T,C,2000-Q2,87.2,2012
Q,GR,N,LCI_T,D,2000-Q2,52.1,2012
Q,GR,N,LCI_T,E,2000-Q2,67.7,2012
Q,GR,N,LCI_T,F,2000-Q2,86.6,2012
Q,GR,N,LCI_T,G,2000-Q2,71.8,2012
Q,GR,N,LCI_T,H,2000-Q2,78.8,2012
Q,GR,N,LCI_T,I,2000-Q2,94.1,2012
Q,GR,N,LCI_T,J,2000-Q2,81.4,2012
Q,GR,N,LCI_T,K,2000-Q2,89.7,2012
Q,GR,N,LCI_T,L,2000-Q2,39.7,2012
Q,GR,N,LCI_T,M,2000-Q2,60.8,2012
Q,GR,N,LCI_T,N,2000-Q2,69,2012
Q,GR,N,LCI_T,O,2000-Q2,75.7,2012
Q,GR,N,LCI_T,P,2000-Q2,84.5,2012
Q,GR,N,LCI_T,Q,2000-Q2,96.4,2012
Q,GR,N,LCI_T,R,2000-Q2,87.3,2012
Q,GR,N,LCI_T,S,2000-Q2,79.1,2012
Q,GR,N,LCI_T,BTE,2000-Q2,78.6,2012
Q,GR,N,LCI_T,BTF,2000-Q2,80.5,2012
Q,GR,N,LCI_T,BTN,2000-Q2,77.9,2012
Q,GR,N,LCI_T,BTS,2000-Q2,78.7,2012
Q,GR,N,LCI_T,GTJ,2000-Q2,76.4,2012
Q,GR,N,LCI_T,GTN,2000-Q2,77.1,2012
Q,GR,N,LCI_T,KTN,2000-Q2,78.8,2012
Q,GR,N,LCI_T,OTS,2000-Q2,81.1,2012
Q,GR,N,LCI_T,PTS,2000-Q2,85.9,2012
Q,GR,N,LCI_WAG,B,2000-Q2,69.2,2012
Q,GR,N,LCI_WAG,C,2000-Q2,90,2012
Q,GR,N,LCI_WAG,D,2000-Q2,50.3,2012
Q,GR,N,LCI_WAG,E,2000-Q2,68.6,2012
Q,GR,N,LCI_WAG,F,2000-Q2,89.9,2012
Q,GR,N,LCI_WAG,G,2000-Q2,62.7,2012
Q,GR,N,LCI_WAG,H,2000-Q2,83.1,2012
Q,GR,N,LCI_WAG,I,2000-Q2,96.7,2012
Q,GR,N,LCI_WAG,J,2000-Q2,83.3,2012
Q,GR,N,LCI_WAG,K,2000-Q2,94.6,2012
Q,GR,N,LCI_WAG,L,2000-Q2,43.5,2012
Q,GR,N,LCI_WAG,M,2000-Q2,66.3,2012
Q,GR,N,LCI_WAG,N,2000-Q2,72.1,2012
Q,GR,N,LCI_WAG,O,2000-Q2,79,2012
Q,GR,N,LCI_WAG,P,2000-Q2,86.3,2012
Q,GR,N,LCI_WAG,Q,2000-Q2,93.1,2012
Q,GR,N,LCI_WAG,R,2000-Q2,78.3,2012
Q,GR,N,LCI_WAG,S,2000-Q2,76,2012
Q,GR,N,LCI_WAG,BTE,2000-Q2,79.6,2012
Q,GR,N,LCI_WAG,BTF,2000-Q2,81.9,2012
Q,GR,N,LCI_WAG,BTN,2000-Q2,77.4,2012
Q,GR,N,LCI_WAG,BTS,2000-Q2,79.1,2012
Q,GR,N,LCI_WAG,GTJ,2000-Q2,72.8,2012
Q,GR,N,LCI_WAG,GTN,2000-Q2,75.6,2012
Q,GR,N,LCI_WAG,KTN,2000-Q2,83,2012
Q,GR,N,LCI_WAG,OTS,2000-Q2,82.6,2012
Q,GR,N,LCI_WAG,PTS,2000-Q2,85.4,2012
Q,GR,N,LCI_O,B,2000-Q2,138.7,2012
Q,GR,N,LCI_O,C,2000-Q2,76.6,2012
Q,GR,N,LCI_O,D,2000-Q2,57.5,2012
Q,GR,N,LCI_O,E,2000-Q2,66.5,2012
Q,GR,N,LCI_O,F,2000-Q2,76.4,2012
Q,GR,N,LCI_O,G,2000-Q2,107.7,2012
Q,GR,N,LCI_O,H,2000-Q2,64.3,2012
Q,GR,N,LCI_O,I,2000-Q2,81,2012
Q,GR,N,LCI_O,J,2000-Q2,69.7,2012
Q,GR,N,LCI_O,K,2000-Q2,77.4,2012
Q,GR,N,LCI_O,L,2000-Q2,27.9,2012
Q,GR,N,LCI_O,M,2000-Q2,42.5,2012
Q,GR,N,LCI_O,N,2000-Q2,56.4,2012
Q,GR,N,LCI_O,O,2000-Q2,65.2,2012
Q,GR,N,LCI_O,P,2000-Q2,79.9,2012
Q,GR,N,LCI_O,Q,2000-Q2,127.7,2012
Q,GR,N,LCI_O,R,2000-Q2,235.6,2012
Q,GR,N,LCI_O,S,2000-Q2,106.8,2012
Q,GR,N,LCI_O,BTE,2000-Q2,74.4,2012
Q,GR,N,LCI_O,BTF,2000-Q2,75.1,2012
Q,GR,N,LCI_O,BTN,2000-Q2,80,2012
Q,GR,N,LCI_O,BTS,2000-Q2,77.2,2012
Q,GR,N,LCI_O,GTJ,2000-Q2,90.9,2012
Q,GR,N,LCI_O,GTN,2000-Q2,82.6,2012
Q,GR,N,LCI_O,KTN,2000-Q2,66.4,2012
Q,GR,N,LCI_O,OTS,2000-Q2,74.9,2012
Q,GR,N,LCI_O,PTS,2000-Q2,88.8,2012
Q,GR,Y,LCI_T,B,2000-Q2,78.7,2012
Q,GR,Y,LCI_T,C,2000-Q2,88,2012
Q,GR,Y,LCI_T,D,2000-Q2,52.3,2012
Q,GR,Y,LCI_T,E,2000-Q2,69.5,2012
Q,GR,Y,LCI_T,F,2000-Q2,87.5,2012
Q,GR,Y,LCI_T,G,2000-Q2,71.8,2012
Q,GR,Y,LCI_T,H,2000-Q2,79.7,2012
Q,GR,Y,LCI_T,I,2000-Q2,96.6,2012
Q,GR,Y,LCI_T,J,2000-Q2,82.6,2012
Q,GR,Y,LCI_T,L,2000-Q2,80.4,2012
Q,GR,Y,LCI_T,K,2000-Q2,91.5,2012
Q,GR,Y,LCI_T,M,2000-Q2,60.7,2012
Q,GR,Y,LCI_T,N,2000-Q2,68,2012
Q,GR,Y,LCI_T,O,2000-Q2,77.8,2012
Q,GR,Y,LCI_T,P,2000-Q2,88.5,2012
Q,GR,Y,LCI_T,Q,2000-Q2,93.8,2012
Q,GR,Y,LCI_T,R,2000-Q2,91.4,2012
Q,GR,Y,LCI_T,S,2000-Q2,79.2,2012
Q,GR,Y,LCI_T,BTE,2000-Q2,79.5,2012
Q,GR,Y,LCI_T,BTF,2000-Q2,81.5,2012
Q,GR,Y,LCI_T,BTN,2000-Q2,78.8,2012
Q,GR,Y,LCI_T,BTS,2000-Q2,80.1,2012
Q,GR,Y,LCI_T,GTJ,2000-Q2,77,2012
Q,GR,Y,LCI_T,GTN,2000-Q2,77.9,2012
Q,GR,Y,LCI_T,KTN,2000-Q2,79.7,2012
Q,GR,Y,LCI_T,OTS,2000-Q2,83,2012
Q,GR,Y,LCI_T,PTS,2000-Q2,87.8,2012
Q,GR,Y,LCI_WAG,B,2000-Q2,69.9,2012
Q,GR,Y,LCI_WAG,C,2000-Q2,90.7,2012
Q,GR,Y,LCI_WAG,D,2000-Q2,50.4,2012
Q,GR,Y,LCI_WAG,E,2000-Q2,70.1,2012
Q,GR,Y,LCI_WAG,F,2000-Q2,91,2012
Q,GR,Y,LCI_WAG,G,2000-Q2,63.1,2012
Q,GR,Y,LCI_WAG,H,2000-Q2,85.6,2012
Q,GR,Y,LCI_WAG,I,2000-Q2,99.3,2012
Q,GR,Y,LCI_WAG,J,2000-Q2,84.8,2012
Q,GR,Y,LCI_WAG,L,2000-Q2,91.8,2012
Q,GR,Y,LCI_WAG,K,2000-Q2,96.6,2012
